ID;Corpus;TextGenre_OrdMerge3;TextGenre_OrdMerge2;TextGenre_OrdMerge;TextGenre_Ordinal;TextGenre;Subj_Length;Animacy;Accessibility;TypeOfAnaphor;Constructions;Corpus_ID;Sentence
s_1;SpokenCorpora;1;1;1;2;FreeConv.;1;Umano;Old;Old_general;sembra che;KIParla;TOA1006| accennare gia' prima // okay // perche' se no  sembra  che lei stia parlando di una societa' fuori dal 
s_2;SpokenCorpora;1;1;1;2;FreeConv.;1;Non Animato;Old;Old_rel;sembrare+infinitive;KIParla;TOA1006| dire // quella persona // ha dei sintomi // che  sembrano  presupporre una schizofrenia // si' // no certo 
s_3;SpokenCorpora;1;1;1;2;FreeConv.;0;Umano;Old;Old_ident;sembra che;LIP;* sembrano zombi no aspetta io mi diverto a io dico che la mattina arrivo sempre presto mi diverto a veder gli amici che salgono le scale come degli zombi e hanno una faccia che non dico eh sembra che a colazione a posto del latte abbiano bevuto vino bianco
s_4;SpokenCorpora;1;1;1;2;FreeConv.;0;Umano;Old;Old_general;mi sembra che;KIParla;TOA3002| che hai ragione eh nel senso // eh insomma eh mi  sembra  che soprattutto se son studente sto pagando 
s_5;SpokenCorpora;1;1;1;2;FreeConv.;1;Umano;Old;Old_general;mi sembra che;LIP;ma no non e' vero io gli ho detto va be' mi sembrava un attimo ti guardavo e m' era sembrato che tu eh le facessi in un modo strano ice no no no e li' al momento mi ha detto guarda e eh e in momento qui scriveva scriveva normale poi dopo invece quando scrive senza pensarci o senza pensare io lo guardo allora l' ho guardato meglio e lui parte dal rigo fa la sua letterina e poi # va a quella accanto $
s_6;SpokenCorpora;1;2;2;4;NonFreeConv.;3;Umano;Old;Old_ident;sembra che;KIParla;TOD2008| e poi lei mi ha chiamato che era in panico perche'  sembra  che il mio coinquilin il mio amico volesse 
s_7;SpokenCorpora;1;1;1;2;FreeConv.;0;Non Animato;Old;Old_event;mi sembra che;KIParla;TOA3004| // va bene // andiamo di caffe' // andiamo // mi  sembra  che sia quel momento li' // si' // tu hai mangiato 
s_8;SpokenCorpora;1;1;1;2;FreeConv.;0;Umano;Old;Old_ident;mi sembra che;LIP;mi sembra che non sia portata
s_9;SpokenCorpora;1;1;1;2;FreeConv.;0;Umano;Old;Old_ident;mi sembra che;LIP;questo per parlare di di voti certe volte sembra che non si sappia esprimere pero' certe volte ingrana e si sa esprimere
s_10;SpokenCorpora;1;1;1;2;FreeConv.;0;Umano;Old;Old_ident;sembra che;LIP;questo per parlare di di voti certe volte sembra che non si sappia esprimere pero' certe volte ingrana e si sa esprimere
s_11;SpokenCorpora;1;1;1;2;FreeConv.;0;Umano;Old;Old_ident;mi sembra che;LIP;mi sembra che le cose poi le puo' fare poi l' ultimo compito invece non gli ho dovuto far fare nemmeno il recupero perche' l' ha fatto benino ha preso sei e mezzo sette quindi io
s_12;SpokenCorpora;1;1;1;1;TelephoneConv.;1;Umano;Old;Old_general;mi sembra che;LIP;ma mi sembra proprio tu c' abbia il telefono ai piedi
s_13;SpokenCorpora;1;1;1;2;FreeConv.;0;Umano;Old;Old_general;sembra che;KIParla;BOA3003| a un gruppo sociale // okay // bene eh cioe'  sembra  che mi stai intervistan // cazzo fa ah tira l' 
s_14;SpokenCorpora;1;1;1;1;TelephoneConv.;0;Umano;Old;Old_general;mi sembra che;LIP;da Careggi avevo capito ma ho fatto ho fatto ho fatto di dire mi sembra che non sei tanto serena oggi sei un po' ombrosa eh *
s_15;SpokenCorpora;1;1;1;2;FreeConv.;5;Umano;Old;Old_generic;sembrare+infinitive;KIParla;TOA3007| esatto // quando una persona // che ti conosce //  sembra  non conoscerti // cie' sembra proprio e poi // 
s_16;SpokenCorpora;1;1;1;1;TelephoneConv.;5;Non Animato;Mediated;Mediated_set;mi sembra che;LIP;legge faccio un esempio sugli asili nido mi sembra sia una cosa per tante mamme eccetera poi ogni tanto sorte
s_17;SpokenCorpora;1;2;2;4;NonFreeConv.;0;Non animato;Old;Old_ident;mi sembra che;KIParla;PTD012| anche in valle questo film di germi // mhmh // mi  sembra  sia del quanrantanove o del cinquanta la via 
s_18;SpokenCorpora;1;2;2;4;NonFreeConv.;3;Umano;New;New;sembra che;KIParla;PTD012| di tutta la cosa di andare di la' non c'e' nulla //  sembra  che l'unica cosa sono dei no tav che si picchiano 
s_19;SpokenCorpora;1;1;1;1;TelephoneConv.;1;Umano;Old;Old_ident;mi sembra che;LIP;insomma * insomma cioe' guarda lei tra l' altro mi sembra sia anche francese ci ha un carattere che non e' ora resti tra noi ma
s_20;SpokenCorpora;1;1;1;1;TelephoneConv.;0;Umano;Old;Old_general;mi sembra che;LIP;ah grazie grazie io ti ringrazio noi non non combattiamo nemmeno neppure contro le classifiche tiriamo avanti a diritto cosi' siamo quotati in classifica ovviamente non siamo primi perche' non siamo grandi pero' eh ce ne freghiamo sinceramente un po' delle classifiche noi vogliamo entrare nel cuore della citta' ecco il nostro compito e mi sembra che cosi' attraverso queste testimonianze che fanno pur sempre molto piacere il ci stiamo riuscendo ti ringrazio Daniele a presto
s_21;SpokenCorpora;3;4;4;6;MonologicSp.;1;Non Animato;Old;Old_rel;sembrare+infinitive;KIParla;TOD1002| valori propri // a un estremo c' e' la musica che  sembra  avere solo // un valore estetico // a un altro 
s_22;SpokenCorpora;3;4;4;6;MonologicSp.;1;Non Animato;Old;Old_rel;sembrare+infinitive;KIParla;TOD1002| a un altro estremo c' e' // un' informazione che  sembra  non avere nessun valore se non strettamente 
s_23;SpokenCorpora;3;4;4;6;MonologicSp.;2;Non Animato;Old;Old_ident;sembrare+infinitive;KIParla;TOD1002| // di quello che sto cercando di dire // la musica  sembra  non contenere informazioni // pero' fa una 
s_24;SpokenCorpora;1;2;2;4;NonFreeConv.;2;Animato;New;New;mi sembra che;LIP;ma esse trasferiti si' # dove ci paga i soldi e mi sembra che l' INAILS sia disponibile a accettare anche queste cose qui # se stiamo attenti $ $ e non ci facciamo una battaglia i politici non vogliano # lo vogliono la CPDL e' un carrozzone dove attingono per te cos' e' *
s_25;SpokenCorpora;1;2;2;4;NonFreeConv.;3;Animato;Old;Old_ident;mi sembra che;LIP;bene chi e' che si sente in grado di proporre un attimino un viaggio Riccardo * perche' questa agenzia Saetta mi sembra a me che e' un po' fallimentare non sa proporre delle dei dei grossi giri turistici forza
